hgm	v	f_veg	f_h20	f_h40	f_h60	f_h80	f_h95	f_p20	f_p40	f_p60	f_p80	f_p95	cont_1	corr_1	savg_1	svar_1
10.54	52.53	14.167	5.462	6.592	7.591	8.792	10.322	32.039	53.398	71.845	87.379	97.087	1.998202801	0.018131062	12.66918373	144.504425
17.09	256.84	13.043	12.231	14.591	16.32	17.279	18.591	33	53	70	86	97	6.383698463	0.383839935	13.02476406	155.7956848
17.42	216.99	16.541	10.722	13.561	15.872	18.382	22.773	35.135	55.856	72.973	88.288	98.198	26.37998581	0.246080414	14.56543064	217.2489929
9.5	99.61	24.771	5.251	6.081	6.741	7.751	8.751	28.049	48.78	68.293	85.366	97.561	1.811336875	0.000967046	10.08469009	89.4329834
23.83	370.67	15.172	11.836	15.447	19.006	21.228	24.068	34.959	56.098	73.171	87.805	97.561	31.53662682	0.08706826	9.980072022	112.9176331
14.56	229.9	5.714	10.281	11.341	12.042	12.872	13.981	24.675	45.887	65.368	83.55	96.104	8.761938095	0.202430904	16.07572937	236.2556
7.95	63	38.462	6.02	6.65	7.281	7.831	8.842	28.125	50	68.75	85.938	96.875	1.989195585	0.04533672	9.76849556	83.26143646
14.5	127.12	22.271	6.215	8.566	10.175	11.756	13.735	35.393	56.18	73.596	88.202	97.753	22.08719826	0.087800399	11.18287468	124.1129608
16.91	205.31	11.688	10.55	11.822	13.118	14.2	15.672	31.863	51.961	69.608	85.784	97.059	5.105629921	0.403305352	15.94658661	234.1021729
22.8	322.11	19.708	18.225	19.005	20.063	21.334	22.394	29.091	48.182	66.364	84.545	96.364	21.63315964	0.046089396	12.95518112	160.0563507
15.4	130.75	20.661	8.86	10.64	12.001	13.57	15.051	34.375	54.167	71.354	86.979	96.875	9.122420311	0.103803188	13.99904919	177.2407837
19.9	342.2	20.455	14.072	15.793	17.264	18.904	21.382	27.619	48.571	67.619	84.762	97.143	19.69259834	0.02431621	9.594682694	90.70253754
14.13	134.34	32.669	10.79	11.93	12.939	13.881	15.159	26.036	47.337	66.272	84.024	96.45	9.275042534	0.018546375	11.95330238	127.8196182
19.6	295.81	8.621	12.281	13.79	15.411	16.779	19.71	29.245	50	68.396	85.377	96.698	21.81570053	0.013992522	11.62367058	129.9067383
21.25	298.79	5.556	13.409	18.068	20.087	22.137	25.197	35.686	54.902	71.765	86.667	97.255	15.60691357	0.291221023	12.21547985	147.9325714
12.32	110.77	33.065	8.458	9.638	10.459	11.328	12.118	28.916	49.398	67.47	84.337	96.386	10.25709152	0.151537865	15.63532829	224.0124512
15.83	163.03	29.804	12.009	13.138	14.418	15.709	16.909	25.698	46.927	65.922	83.799	96.648	8.369431496	0.132998109	13.64254379	168.0928802
11.8	138.48	22.794	8.805	10.045	10.964	12.304	14.485	26.667	48.571	67.619	85.714	97.143	9.108722687	0.169656903	13.02936172	153.9415436
20.04	250.98	25.758	13.976	16.115	17.485	19.186	20.575	30.612	50	68.367	85.714	96.939	21.51040649	0.091042541	11.32798195	127.4348526
13.1	99.1	18.487	8.17	9.491	10.89	11.941	13.151	28.866	50.515	69.072	85.567	96.907	6.162518024	0.07737428	11.97607517	127.4133835
15.65	138.98	27.119	10.367	11.367	12.946	14.747	16.677	26.744	48.837	68.605	86.047	96.512	4.712103844	0.043230526	12.01852322	128.0843048
11.65	110.03	12.712	7.566	9.834	11.225	12.795	15.796	37.864	57.282	73.786	88.35	98.058	16.83914948	0.325284869	8.482446671	86.12649536
18.85	223.2	8.584	11.116	13.244	14.336	15.835	16.864	31.925	51.643	69.014	85.446	96.714	11.51874161	0.26206097	13.46022987	169.9341431
15.39	140.93	31.667	10.341	12.12	13.402	14.411	16.31	30.488	51.22	69.512	85.366	97.561	6.760462761	0.251141638	12.97724152	152.3896637
17.7	182.43	23.529	12.804	14.194	15.154	16.854	17.655	26.923	47.115	66.346	84.615	96.154	9.827407837	0.071918845	11.92085648	128.0510559
23.37	389.7	31.944	17.322	19.743	21.351	22.612	24.582	34.694	53.061	70.408	85.714	96.939	28.81807137	0.123431452	9.954011917	111.7267075
